loss,mse,val_loss,val_mse
1.073689579963684,1.073689579963684,0.7987102270126343,0.7987102270126343
0.8060058355331421,0.8060058355331421,0.7561981081962585,0.7561981081962585
0.7496781945228577,0.7496781945228577,0.7369570732116699,0.7369570732116699
0.7177732586860657,0.7177732586860657,0.7505960464477539,0.7505960464477539
0.6995205283164978,0.6995205283164978,0.7369847893714905,0.7369847893714905
0.6823779940605164,0.6823779940605164,0.7311123609542847,0.7311123609542847
0.6705735325813293,0.6705735325813293,0.7483786344528198,0.7483786344528198
0.6615010499954224,0.6615010499954224,0.7629826664924622,0.7629826664924622
0.6515418291091919,0.6515418291091919,0.744220495223999,0.744220495223999
0.6402562856674194,0.6402562856674194,0.7416505217552185,0.7416505217552185
