loss,mse,val_loss,val_mse
0.9576772451400757,0.9576772451400757,0.8399632573127747,0.8399632573127747
0.7574943900108337,0.7574943900108337,0.7439613938331604,0.7439613938331604
0.6357359886169434,0.6357359886169434,0.7220509052276611,0.7220509052276611
0.5538148880004883,0.5538148880004883,0.7232468724250793,0.7232468724250793
0.49170592427253723,0.49170592427253723,0.7343595623970032,0.7343595623970032
0.4445871114730835,0.4445871114730835,0.7514809370040894,0.7514809370040894
0.40890729427337646,0.40890729427337646,0.7689138054847717,0.7689138054847717
0.3811095058917999,0.3811095058917999,0.787489116191864,0.787489116191864
0.3595346510410309,0.3595346510410309,0.8036741614341736,0.8036741614341736
0.34276044368743896,0.34276044368743896,0.8205000758171082,0.8205000758171082
