loss,mse,val_loss,val_mse
0.8891950249671936,0.8891950249671936,0.8008356094360352,0.8008356094360352
0.7658782005310059,0.7658782005310059,0.7521487474441528,0.7521487474441528
0.709976851940155,0.709976851940155,0.7327224016189575,0.7327224016189575
0.6802311539649963,0.6802311539649963,0.7212955951690674,0.7212955951690674
0.6598244309425354,0.6598244309425354,0.7255285978317261,0.7255285978317261
0.6441162824630737,0.6441162824630737,0.7228406667709351,0.7228406667709351
0.6322452425956726,0.6322452425956726,0.7229748368263245,0.7229748368263245
0.6225488781929016,0.6225488781929016,0.732537031173706,0.732537031173706
0.6101067662239075,0.6101067662239075,0.7284811735153198,0.7284811735153198
0.5981024503707886,0.5981024503707886,0.7413817048072815,0.7413817048072815
